# This is a comment. Comments start with #
SECTION_HORIZON
# All instances start on a Monday
# The horizon length in days:
21

SECTION_SHIFTS
# ShiftID, Length in mins, Shifts which cannot follow this shift | separated
D,480,
L,480,E|D
E,480,
N,600,E|D|L

SECTION_STAFF
# ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A,D=21|L=11|E=11|N=3,8100,4500,5,2,2,2
B,D=21|L=0|E=0|N=3,8100,4500,5,2,2,2
C,D=21|L=11|E=11|N=3,8100,4500,5,2,2,2
D,D=21|L=11|E=0|N=0,8100,4500,5,2,2,2
E,D=21|L=11|E=11|N=3,8100,4500,5,2,2,2
F,D=21|L=11|E=0|N=0,8100,4500,5,2,2,2
G,D=21|L=11|E=0|N=3,8100,4500,5,2,2,2
H,D=21|L=11|E=11|N=3,8100,4500,5,2,2,2
I,D=21|L=0|E=11|N=3,8100,4500,5,2,2,2
J,D=21|L=11|E=11|N=3,8100,4500,5,2,2,2
K,D=21|L=11|E=11|N=0,8100,4500,5,2,2,2
L,D=21|L=11|E=11|N=3,8100,4500,5,2,2,2
M,D=21|L=0|E=0|N=0,8100,4500,5,2,2,2
N,D=21|L=0|E=11|N=3,8100,4500,5,2,2,2
O,D=21|L=11|E=0|N=0,8100,4500,5,2,2,2
P,D=21|L=0|E=0|N=3,8100,4500,5,2,2,2
Q,D=21|L=11|E=0|N=0,8100,4500,5,2,2,2
R,D=21|L=0|E=11|N=3,8100,4500,5,2,2,2
S,D=21|L=11|E=11|N=3,8100,4500,5,2,2,2
T,D=21|L=11|E=0|N=0,8100,4500,5,2,2,2
U,D=21|L=11|E=11|N=0,8100,4500,6,2,3,2
V,D=21|L=11|E=11|N=0,8100,4500,6,2,3,2
W,D=21|L=11|E=0|N=3,8100,4500,6,2,3,2
X,D=21|L=0|E=11|N=3,8100,4500,6,2,3,2
Y,D=21|L=0|E=11|N=0,8100,4500,6,2,3,2
Z,D=21|L=0|E=11|N=3,8100,4500,6,2,3,2
AA,D=21|L=11|E=0|N=3,8100,4500,6,2,3,2
AB,D=21|L=0|E=5|N=0,4050,2070,5,1,2,2
AC,D=21|L=5|E=5|N=1,4050,2070,5,1,2,2
AD,D=21|L=5|E=5|N=1,4050,2070,5,1,2,2
AE,D=21|L=5|E=5|N=1,4050,2070,5,1,2,2
AF,D=21|L=0|E=5|N=0,4050,2070,5,1,2,2

SECTION_DAYS_OFF
# EmployeeID, DayIndexes (start at zero)
A
B
C
D
E
F
G
H
I
J
K
L
M
N
O
P
Q
R
S
T
U
V
W
X
Y
Z
AA
AB
AC
AD
AE
AF

SECTION_SHIFT_ON_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,0,D,3
A,19,E,2
A,20,E,2
B,9,N,2
B,10,N,2
B,11,N,2
C,3,N,3
C,4,N,3
C,18,E,1
C,19,E,1
D,12,L,2
D,13,L,2
E,0,L,1
E,1,L,1
E,5,D,2
E,6,D,2
E,12,L,1
E,13,L,1
E,14,L,1
E,15,L,1
E,16,L,1
F,0,D,3
F,1,D,3
F,2,D,3
F,3,D,3
F,15,L,3
F,16,L,3
F,17,L,3
F,18,L,3
G,1,N,3
H,3,E,2
H,4,E,2
H,8,E,1
H,9,E,1
H,10,E,1
H,11,E,1
I,5,N,2
J,13,N,1
J,14,N,1
J,15,N,1
K,13,L,2
K,14,L,2
K,15,L,2
K,16,L,2
K,17,L,2
L,2,E,3
L,3,E,3
L,4,E,3
L,5,E,3
L,6,E,3
M,5,D,3
M,6,D,3
N,5,E,3
N,6,E,3
N,7,E,3
O,11,L,1
P,2,N,3
P,3,N,3
P,8,D,3
P,9,D,3
P,10,D,3
P,11,D,3
P,12,D,3
Q,2,L,1
Q,7,L,1
Q,8,L,1
Q,9,L,1
Q,10,L,1
Q,11,L,1
R,2,E,1
R,8,E,2
R,9,E,2
R,10,E,2
R,11,E,2
R,12,E,2
S,4,N,2
S,5,N,2
S,6,N,2
S,14,E,3
S,15,E,3
T,1,D,2
T,2,D,2
T,3,D,2
T,4,D,2
T,5,D,2
T,10,D,1
T,11,D,1
T,12,D,1
T,17,L,1
T,18,L,1
T,19,L,1
T,20,L,1
U,4,D,2
U,5,D,2
U,6,D,2
U,7,D,2
U,15,L,2
U,16,L,2
U,17,L,2
U,18,L,2
V,1,L,1
V,2,L,1
V,19,E,2
V,20,E,2
W,0,L,2
W,1,L,2
W,2,L,2
W,3,L,2
W,4,L,2
W,13,D,1
X,0,N,3
X,7,N,3
X,8,N,3
X,9,N,3
X,10,N,3
Y,1,E,3
Y,2,E,3
Z,1,E,1
Z,2,E,1
Z,3,E,1
Z,4,E,1
Z,13,D,1
Z,14,D,1
AA,2,L,2
AA,3,L,2
AA,4,L,2
AA,5,L,2
AA,9,L,2
AA,10,L,2
AA,11,L,2
AA,12,L,2
AA,19,N,2
AA,20,N,2
AB,17,E,1
AB,18,E,1
AB,19,E,1
AB,20,E,1
AC,2,N,1
AC,3,N,1
AD,2,E,1
AE,9,D,2
AE,10,D,2
AE,11,D,2
AE,12,D,2
AE,13,D,2
AF,17,E,3
AF,18,E,3
AF,19,E,3
AF,20,E,3

SECTION_SHIFT_OFF_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,8,L,3
A,9,L,3
A,10,L,3
A,11,L,3
B,0,D,2
B,1,D,2
B,2,D,2
B,3,D,2
B,4,D,2
D,3,D,2
D,4,D,2
D,5,D,2
D,6,D,2
G,19,D,3
I,0,E,1
I,1,E,1
I,16,N,1
I,17,N,1
I,18,N,1
K,0,E,2
L,10,E,2
M,10,D,3
M,14,D,1
N,20,N,2
O,3,L,1
Q,16,L,3
Q,17,L,3
