# This is a comment. Comments start with #
SECTION_HORIZON
# All instances start on a Monday
# The horizon length in days:
21

SECTION_SHIFTS
# ShiftID, Length in mins, Shifts which cannot follow this shift | separated
D,480,E
L,480,E|D
E,480,

SECTION_STAFF
# ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A,D=21|L=21|E=21,7903,4607,5,2,2,2
B,D=21|L=21|E=21,7903,4607,5,2,2,2
C,D=0|L=21|E=21,7903,4607,5,2,2,2
D,D=21|L=0|E=21,7903,4607,5,2,2,2
E,D=21|L=21|E=0,7903,4607,5,2,2,2
F,D=21|L=21|E=21,7903,4607,5,2,2,2
G,D=0|L=21|E=0,7903,4607,5,2,2,2
H,D=21|L=21|E=21,7903,4607,5,2,2,2
I,D=21|L=0|E=0,7903,4607,5,2,2,2
J,D=21|L=21|E=0,7903,4607,5,2,2,2
K,D=21|L=21|E=21,7903,4607,5,2,2,2
L,D=21|L=0|E=0,7903,4607,5,2,2,2
M,D=0|L=21|E=0,7903,4607,5,2,2,2
N,D=21|L=21|E=21,7903,4607,5,2,2,2
O,D=21|L=21|E=21,7903,4607,5,2,2,2
P,D=21|L=21|E=0,7903,4607,5,2,2,2
Q,D=21|L=0|E=0,7903,4607,5,2,2,2
R,D=21|L=21|E=21,7903,4607,5,2,2,2
S,D=21|L=21|E=21,7903,4607,5,2,2,2
T,D=21|L=21|E=21,7903,4607,5,2,2,2

SECTION_DAYS_OFF
# EmployeeID, DayIndexes (start at zero)
A
B
C
D
E
F
G
H
I
J
K
L
M
N
O
P
Q
R
S
T

SECTION_SHIFT_ON_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,20,D,3
B,1,D,3
B,7,E,1
B,8,E,1
B,16,L,3
B,17,L,3
B,18,L,3
C,13,E,2
C,14,E,2
C,15,E,2
C,16,E,2
D,1,E,2
D,2,E,2
D,3,E,2
D,11,D,3
D,12,D,3
E,15,L,1
E,16,L,1
E,17,L,1
E,18,L,1
G,1,L,3
G,2,L,3
G,3,L,3
G,4,L,3
G,5,L,3
H,8,L,3
H,9,L,3
H,19,L,1
H,20,L,1
K,0,E,2
L,3,D,3
L,4,D,3
L,5,D,3
L,6,D,3
L,7,D,3
L,18,D,3
L,19,D,3
L,20,D,3
M,16,L,3
N,7,L,3
N,8,L,3
N,9,L,3
O,6,L,1
O,7,L,1
O,8,L,1
O,9,L,1
P,8,D,1
P,9,D,1
P,10,D,1
P,11,D,1
P,12,D,1
P,20,L,2
R,13,D,1
R,14,D,1
T,13,E,2

SECTION_SHIFT_OFF_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,1,D,2
A,2,D,2
A,12,L,1
F,0,E,3
F,1,E,3
F,2,E,3
F,3,E,3
F,4,E,3
F,8,L,3
F,9,L,3
F,10,L,3
F,11,L,3
M,20,L,2
N,2,L,2
N,19,D,1
N,20,D,1
O,0,L,1
O,1,L,1
P,0,L,2
P,1,L,2
P,2,L,2
P,3,L,2
Q,0,D,2
Q,1,D,2
Q,2,D,2
Q,3,D,2
Q,4,D,2
R,4,E,2
R,5,E,2
S,2,D,1
S,3,D,1
S,4,D,1
S,12,L,3
T,2,L,2
T,3,L,2
T,4,L,2
T,5,L,2
T,6,L,2
B,2,D,50
B,2,L,50
B,2,E,50
B,3,D,50
B,3,L,50
B,3,E,50
B,4,D,50
B,4,L,50
B,4,E,50
B,5,D,50
B,5,L,50
B,5,E,50
B,6,D,50
B,6,L,50
B,6,E,50
D,15,D,50
D,15,L,50
D,15,E,50
D,16,D,50
D,16,L,50
D,16,E,50
D,17,D,50
D,17,L,50
D,17,E,50
D,18,D,50
D,18,L,50
D,18,E,50
D,19,D,50
D,19,L,50
D,19,E,50
D,20,D,50
D,20,L,50
D,20,E,50
E,6,D,50
E,6,L,50
E,6,E,50
E,7,D,50
E,7,L,50
E,7,E,50
E,8,D,50
E,8,L,50
E,8,E,50
E,9,D,50
E,9,L,50
E,9,E,50
E,10,D,50
E,10,L,50
E,10,E,50
E,11,D,50
E,11,L,50
E,11,E,50
H,15,D,50
H,15,L,50
H,15,E,50
H,16,D,50
H,16,L,50
H,16,E,50
H,17,D,50
H,17,L,50
H,17,E,50
I,17,D,50
I,17,L,50
I,17,E,50
I,18,D,50
I,18,L,50
I,18,E,50
I,19,D,50
I,19,L,50
I,19,E,50
I,20,D,50
I,20,L,50
I,20,E,50
L,15,D,50
L,15,L,50
L,15,E,50
L,16,D,50
L,16,L,50
L,16,E,50
L,17,D,50
L,17,L,50
L,17,E,50
O,13,D,50
O,13,L,50
O,13,E,50
Q,18,D,50
Q,18,L,50
Q,18,E,50
Q,19,D,50
Q,19,L,50
Q,19,E,50
Q,20,D,50
Q,20,L,50
Q,20,E,50
R,2,D,50
R,2,L,50
R,2,E,50
R,10,D,50
R,10,L,50
R,10,E,50
R,11,D,50
R,11,L,50
R,11,E,50
S,16,D,50
S,16,L,50
S,16,E,50
S,17,D,50
S,17,L,50
S,17,E,50
S,18,D,50
S,18,L,50
S,18,E,50
