# This is a comment. Comments start with #
SECTION_HORIZON
# All instances start on a Monday
# The horizon length in days:
7

SECTION_SHIFTS
# ShiftID, Length in mins, Shifts which cannot follow this shift | separated
D,480,E
L,480,E|D
E,480,
N,480,E|D|L

SECTION_STAFF
# ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
B,D=0|L=7|E=7|N=0,2700,1575,5,2,2,1
C,D=7|L=0|E=7|N=1,2700,1575,5,2,2,1
D,D=7|L=7|E=7|N=0,2700,1575,5,2,2,1
E,D=7|L=0|E=7|N=1,2700,1575,5,2,2,1
F,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
G,D=0|L=7|E=7|N=1,2700,1575,5,2,2,1
H,D=0|L=7|E=7|N=0,2700,1575,5,2,2,1
I,D=7|L=0|E=7|N=0,2700,1575,5,2,2,1
J,D=7|L=7|E=7|N=0,2700,1575,5,2,2,1
K,D=7|L=0|E=7|N=1,2700,1575,5,2,2,1
L,D=0|L=7|E=7|N=1,2700,1575,5,2,2,1
M,D=7|L=7|E=7|N=0,2700,1575,5,2,2,1
N,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
O,D=0|L=0|E=7|N=1,2700,1575,5,2,2,1
P,D=7|L=7|E=0|N=1,2700,1575,5,2,2,1
Q,D=0|L=7|E=7|N=1,2700,1575,5,2,2,1
R,D=7|L=0|E=7|N=1,2700,1575,5,2,2,1
S,D=7|L=7|E=7|N=0,2700,1575,5,2,2,1
T,D=0|L=7|E=7|N=1,2700,1575,5,2,2,1
U,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
V,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
W,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
X,D=7|L=7|E=7|N=0,2700,1575,5,2,2,1
Y,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
Z,D=0|L=0|E=7|N=1,2700,1575,5,2,2,1
AA,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
AB,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
AC,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
AD,D=7|L=7|E=7|N=1,2700,1575,5,2,2,1
AE,D=7|L=7|E=7|N=1,2531,1474,4,2,2,1
AF,D=7|L=7|E=7|N=1,2531,1474,4,2,2,1

SECTION_DAYS_OFF
# EmployeeID, DayIndexes (start at zero)
A
B
C
D
E
F
G
H
I
J
K
L
M
N
O
P
Q
R
S
T
U
V
W
X
Y
Z
AA
AB
AC
AD
AE
AF

SECTION_SHIFT_ON_REQUESTS
# EmployeeID, Day, ShiftID, Weight
F,0,L,2
F,1,L,2
F,5,D,1
I,2,E,1
I,3,E,1
I,4,E,1
J,3,L,1
K,5,D,1
M,3,E,1
M,4,E,1
P,0,D,1
P,1,D,1
P,2,D,1
P,3,D,1
R,0,D,3
R,1,D,3
R,2,D,3
T,0,E,2
T,1,E,2
T,2,E,2
X,0,D,1
X,1,D,1
X,2,D,1
X,3,D,1
Z,5,N,3
AB,5,E,3
AB,6,E,3
AC,2,E,1
AC,3,E,1
AC,4,E,1
AC,5,E,1
AD,2,D,3
AD,3,D,3
AD,4,D,3
AD,5,D,3
AE,0,L,2
AF,3,L,2
AF,4,L,2
AF,5,L,2

SECTION_SHIFT_OFF_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,5,E,3
A,6,E,3
C,3,D,3
C,4,D,3
C,5,D,3
D,2,D,2
D,3,D,2
L,1,N,1
L,2,N,1
V,1,L,2
V,2,L,2
V,3,L,2
V,4,L,2
AA,0,D,2
AA,1,D,2
AA,2,D,2
AA,6,N,1
B,0,D,50
B,0,L,50
B,0,E,50
B,0,N,50
B,1,D,50
B,1,L,50
B,1,E,50
B,1,N,50
F,6,D,50
F,6,L,50
F,6,E,50
F,6,N,50
H,5,D,50
H,5,L,50
H,5,E,50
H,5,N,50
H,6,D,50
H,6,L,50
H,6,E,50
H,6,N,50
K,3,D,50
K,3,L,50
K,3,E,50
K,3,N,50
K,4,D,50
K,4,L,50
K,4,E,50
K,4,N,50
N,4,D,50
N,4,L,50
N,4,E,50
N,4,N,50
N,5,D,50
N,5,L,50
N,5,E,50
N,5,N,50
N,6,D,50
N,6,L,50
N,6,E,50
N,6,N,50
O,2,D,50
O,2,L,50
O,2,E,50
O,2,N,50
O,3,D,50
O,3,L,50
O,3,E,50
O,3,N,50
O,4,D,50
O,4,L,50
O,4,E,50
O,4,N,50
O,5,D,50
O,5,L,50
O,5,E,50
O,5,N,50
O,6,D,50
O,6,L,50
O,6,E,50
O,6,N,50
Q,2,D,50
Q,2,L,50
Q,2,E,50
Q,2,N,50
Q,6,D,50
Q,6,L,50
Q,6,E,50
Q,6,N,50
U,5,D,50
U,5,L,50
U,5,E,50
U,5,N,50
U,6,D,50
U,6,L,50
U,6,E,50
U,6,N,50
V,5,D,50
V,5,L,50
V,5,E,50
V,5,N,50
W,6,D,50
W,6,L,50
W,6,E,50
W,6,N,50
Z,4,D,50
Z,4,L,50
Z,4,E,50
Z,4,N,50
AB,1,D,50
AB,1,L,50
AB,1,E,50
AB,1,N,50
AB,2,D,50
AB,2,L,50
AB,2,E,50
AB,2,N,50
AB,3,D,50
AB,3,L,50
AB,3,E,50
AB,3,N,50
AE,4,D,50
AE,4,L,50
AE,4,E,50
AE,4,N,50
AE,5,D,50
AE,5,L,50
